id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome
johnson-township-community-park,Johnson Township Community Park,Haubstadt,Gibson County,"Gibson County, IN",IN,USA,18,,38.1956753,-87.5646635,47639,68.917,2280,180231,79048.68421,59074.0
princeton-country-club,Princeton Country Club,Patoka,Gibson County,"Gibson County, IN",IN,USA,18,,38.3938312,-87.5859218,47666,68.917,700,34295,48992.85714,59074.0
red-tail-ridge-dgc,Red Tail Ridge Disc Golf Course,Princeton,Gibson County,"Gibson County, IN",IN,USA,18,,38.28324979999999,-87.5606287,47670,68.917,5790,293740,50732.297060000004,59074.0
southside-9,Southside 9,Princeton,Gibson County,"Gibson County, IN",IN,USA,9,,38.3463591,-87.56076879999999,47670,68.917,5790,293740,50732.297060000004,59074.0
southside-9-0,Southside 9,Princeton,Gibson County,"Gibson County, IN",IN,USA,9,,38.3463591,-87.56076879999999,47670,68.917,5790,293740,50732.297060000004,59074.0
heartland-disc-golf-course,Heartland Disc Golf Course,Sharpsville,Tipton County,"Tipton County, IN",IN,USA,9,,40.3771671,-86.0862484,46068,58.409,1310,85191,65031.29771,76368.0
sharpsville-park,Sharpsville Park,Sharpsville,Tipton County,"Tipton County, IN",IN,USA,9,,40.3771671,-86.0862484,46068,58.409,1310,85191,65031.29771,76368.0
highland-park-2,Highland Park,Kokomo,Howard County,"Howard County, IN",IN,USA,18,2.0,40.467361700000005,-86.14161750000001,46902,281.13,17840,971569,54460.14574,59309.0
preserve,The Preserve,Kokomo,Howard County,"Howard County, IN",IN,USA,18,,40.41293710000001,-86.1233978,46902,281.13,17840,971569,54460.14574,59309.0
shady-pines,Shady Pines,Kokomo,Howard County,"Howard County, IN",IN,USA,18,3.0,40.473116999999995,-86.21203299999999,46901,281.13,17480,859794,49187.29977,59309.0
hillcrest-park-disc-golf,Hillcrest Park Disc Golf,Vincennes,Knox County,"Knox County, IN",IN,USA,9,,38.7002343,-87.49101209999999,47591,72.494,11330,620607,54775.551629999994,44842.0
hollow-acres-golf-center,Hollow Acres Golf Center,Monticello,Carroll County,"Carroll County, IN",IN,USA,9,,40.668371,-86.735016,47960,53.715,7340,401740,54732.97003,62388.0
honey-bear-hollow-campgrounds,Honey Bear Hollow Campgrounds,Peru,Miami County,"Miami County, IN",IN,USA,18,4.0,40.79639,-86.15177299999999,46970,96.03299999999999,10580,492600,46559.546310000005,54439.0
maconaquah-park,Maconaquah Park,Peru,Miami County,"Miami County, IN",IN,USA,18,3.0,40.744173100000005,-86.06451009999999,46970,96.03299999999999,10580,492600,46559.546310000005,54439.0
mississinewa-state-park,Mississinewa State Park,Peru,Miami County,"Miami County, IN",IN,USA,24,5.0,40.700299799999996,-85.9406798,46970,96.03299999999999,10580,492600,46559.546310000005,54439.0
huntington-university,Huntington University,Huntington,Huntington County,"Huntington County, IN",IN,USA,9,,40.8989385,-85.4989927,46750,95.068,12430,640094,51495.89702,59252.0
memorial-hills-disc-golf,Memorial Hills Disc Golf,Huntington,Huntington County,"Huntington County, IN",IN,USA,18,,40.879001,-85.5103013,46750,95.068,12430,640094,51495.89702,59252.0
lost-bridge-disc-golf-course,Lost Bridge Disc Golf Course,Andrews,Huntington County,"Huntington County, IN",IN,USA,9,,40.879001,-85.5103013,46702,95.068,1030,51068,49580.582519999996,59252.0
wildcat-markle-park,The Wildcat at Markle Park,Markle,Huntington County,"Huntington County, IN",IN,USA,18,,40.8292133,-85.3355282,46770,95.068,1270,78403,61734.645670000005,59252.0
tower-park-disc-golf-course,Tower Park Disc Golf Course,Warren,Huntington County,"Huntington County, IN",IN,USA,9,,40.6816898,-85.41753309999999,46792,95.068,1880,100776,53604.25532,59252.0
kankakee-highlands,Kankakee Highlands,North Judson,Starke County,"Starke County, IN",IN,USA,18,4.0,41.250784,-86.746505,46366,74.211,2530,126730,50090.90909,51996.0
kekionga-park,Kekionga Park,Decatur,Adams County,"Adams County, IN",IN,USA,9,,40.822351399999995,-84.91333440000001,46733,103.811,9000,495735,55081.666670000006,58602.0
lapping-memorial-park,Lapping Memorial Park,Clarksville,Clark County,"Clark County, IN",IN,USA,18,,38.3342039,-85.7692835,47129,310.313,9320,377035,40454.399139999994,65555.0
liberty-park-1,Liberty Park,Batesville,Ripley County,"Ripley County, IN",IN,USA,9,,39.2907483,-85.2201574,47006,63.672,6030,479040,79442.78607,58849.0
linza-graham-park,Linza Graham Park,Scottsburg,Scott County,"Scott County, IN",IN,USA,9,,38.683373100000004,-85.76278570000001,47170,124.70200000000001,6610,314297,47548.71407,59286.0
longley-park,Longley Park,Lebanon,Boone County,"Boone County, IN",IN,USA,18,3.0,40.033266299999994,-86.4642493,46052,152.09,11130,676004,60737.106920000006,92302.0
matter-park-disc-golf,Matter Park Disc Golf,Marion,Grant County,"Grant County, IN",IN,USA,24,,40.5847273,-85.6654564,46952,161.672,9010,468287,51974.139839999996,49788.0
upland-church-disc-golf-course,Upland Church Disc Golf Course,Upland,Grant County,"Grant County, IN",IN,USA,9,,40.46562539999999,-85.4996607,46989,161.672,1640,88634,54045.12195,49788.0
milligan-park-disc-golf-course,Milligan Park Disc Golf Course,Crawfordsville,Montgomery County,"Montgomery County, IN",IN,USA,22,4.0,40.0313795,-86.88890190000001,47933,75.852,13010,683828,52561.72175,58867.0
sugar-creek-campground,Sugar Creek Campground,Crawfordsville,Montgomery County,"Montgomery County, IN",IN,USA,18,,40.051262,-86.91825899999999,47933,75.852,13010,683828,52561.72175,58867.0
ossian-disc-golf-course,Ossian Disc Golf Course,Ossian,Wells County,"Wells County, IN",IN,USA,18,4.0,40.8795814,-85.1623077,46777,75.925,3170,183650,57933.753939999995,66597.0
prides-creek-park-disc-golf-course,Prides Creek Park Disc Golf Course,Petersburg,Pike County,"Pike County, IN",IN,USA,18,4.0,38.483241299999996,-87.25879309999999,47567,37.132,2640,140569,53245.83333,58220.0
rivers-edge-rushville,River's Edge - Rushville,Rushville,Rush County,"Rush County, IN",IN,USA,18,,39.5947559,-85.4357407,46173,40.929,4910,243092,49509.5723,67318.0
rockville-lake-park,Rockville Lake Park,Rockville,Parke County,"Parke County, IN",IN,USA,18,4.0,39.781870700000006,-87.21561070000001,47872,38.222,3180,169358,53257.2327,54125.0
sugar-creek-park-disc-golf-course-0,Sugar Creek Park Disc Golf Course,New Palestine,Hancock County,"Hancock County, IN",IN,USA,9,,39.724678600000004,-85.9325641,46163,241.262,6530,559554,85689.73966,77916.0
sullivan-county-park-and-lake,Sullivan County Park and Lake,Sullivan,Sullivan County,"Sullivan County, IN",IN,USA,18,,39.1034499,-87.3898636,47882,46.5,3820,202468,53002.09424,45227.0
tripton-park,Tripton Park,North Vernon,Jennings County,"Jennings County, IN",IN,USA,9,5.0,39.00375510000001,-85.61704250000001,47265,73.628,9180,434684,47351.198260000005,60526.0
wabash-city-park,Wabash City Park,Wabash,Wabash County,"Wabash County, IN",IN,USA,18,5.0,40.7985745,-85.8377457,46992,76.693,7650,451941,59077.2549,55750.0
